,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
0,32.0,0.0001,0.0001,4.0,5.0,0.523015022277832,0.21019911766052246,0.5855085526635186,0.569915886126044,0.07007820941164632
1,32.0,0.0001,1e-05,7.0,8.0,0.8910210132598877,0.26158809661865234,0.535165944816776,0.5347629727062463,0.0007912423745668513
2,32.0,0.0001,1e-06,12.0,15.0,1.4873709678649902,0.4222548007965088,0.5248365475776516,0.5246272638415453,0.0006165540951383318
3,32.0,0.0001,1e-07,14.0,20.0,1.7578048706054688,0.537208080291748,0.5244980196145298,0.5243986982172169,0.00024446013264807086
4,32.0,0.0001,1e-08,18.0,25.0,2.2512311935424805,0.6474199295043945,0.5244060935892954,0.5243702610213012,0.00011602274504736459
5,32.0,1e-05,0.0001,5.0,6.0,0.6359329223632812,0.2272169589996338,0.5671589011977877,0.5389551227743821,0.0612616550185755
6,32.0,1e-05,1e-05,11.0,16.0,1.3766217231750488,0.45851683616638184,0.4309615912414081,0.42396420571800747,0.0186636525184995
7,32.0,1e-05,1e-06,19.0,29.0,2.378117084503174,0.7295811176300049,0.4065171422014713,0.401015376523335,0.009813862170808856
8,32.0,1e-05,1e-07,32.0,47.0,4.018544673919678,1.1594960689544678,0.397056987263627,0.39681079761908444,0.0005446314647262158
9,32.0,1e-05,1e-08,42.0,61.0,5.504926919937134,1.505049705505371,0.3967097261023535,0.396562006755322,0.00045662997702903147
10,32.0,1e-06,0.0001,5.0,6.0,0.6504590511322021,0.2195589542388916,0.5668852125439905,0.5373163756128763,0.0646840750411861
11,32.0,1e-06,1e-05,11.0,16.0,1.4319238662719727,0.4920346736907959,0.40987737748642616,0.4005203844839173,0.03299874256202479
12,32.0,1e-06,1e-06,32.0,53.0,4.079095125198364,1.3168199062347412,0.2966596443702205,0.2863007105855093,0.023709349467050826
13,32.0,1e-06,1e-07,76.0,94.0,9.708037853240967,2.1778953075408936,0.27061073787259754,0.2703484156926769,0.005205183363265257
14,32.0,1e-06,1e-08,108.0,154.0,13.686079025268555,3.6595261096954346,0.2716035654293349,0.271361990336547,0.0009806658040012383
15,32.0,1e-07,0.0001,5.0,6.0,0.6451189517974854,0.2177731990814209,0.5668579421215852,0.5371477648980117,0.06504183816569556
16,32.0,1e-07,1e-05,11.0,16.0,1.386012077331543,0.4577500820159912,0.40802625027673095,0.3986323668406939,0.035239633345929035
17,32.0,1e-07,1e-06,32.0,87.0,4.05688214302063,2.0991899967193604,0.2784076968167419,0.25732347101665115,0.183873298966577
18,32.0,1e-07,1e-07,151.0,276.0,18.924319982528687,6.232789039611816,0.4136443773539414,0.4238331183201298,0.029195205805142267
19,32.0,1e-07,1e-08,253.0,458.0,31.761497974395752,10.274304151535034,0.428388888432182,0.428952370074735,0.0027072469946701227
20,32.0,1e-08,0.0001,5.0,6.0,0.6441357135772705,0.24982786178588867,0.5668552161493267,0.5371308552004238,0.06507777619189031
21,32.0,1e-08,1e-05,11.0,16.0,1.3968920707702637,0.4686858654022217,0.40784830277153356,0.3984557865272298,0.03547581831352049
22,32.0,1e-08,1e-06,32.0,86.0,4.037949085235596,2.095280885696411,0.27690185130767325,0.2665670752994838,0.21167222183953963
