,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
53,128.0,0.0001,1e-09,9.0,11.0,24.232928037643433,2.924510955810547,0.3022700043406753,0.30226603738768426,1.5485406127685405e-05
54,128.0,0.0001,1e-10,10.0,13.0,26.775694131851196,3.1968257427215576,0.3022699566894783,0.3022654436120945,1.5949454009248815e-05
55,128.0,1e-05,1e-06,8.0,9.0,21.334792852401733,2.6312711238861084,0.24070743304496078,0.2441278327186058,0.007283425790054808
56,128.0,1e-05,1e-07,11.0,14.0,29.257695198059082,3.3793420791625977,0.237145887122127,0.23711392629237474,7.28595796137057e-05
57,128.0,1e-05,1e-08,13.0,20.0,34.552993059158325,5.3617188930511475,0.23692246915039575,0.2369050919457524,4.426058672684451e-05
58,128.0,1e-05,1e-09,14.0,23.0,37.24887824058533,4.7838568687438965,0.23691336532814056,0.23689632081797984,4.631861227234935e-05
59,128.0,1e-05,1e-10,17.0,27.0,45.2492790222168,5.377816200256348,0.2369116067626873,0.23689539578257485,4.6447329331706814e-05
60,128.0,1e-06,1e-06,8.0,9.0,21.247314929962158,2.6636581420898438,0.20767895652862078,0.21991976173996222,0.029452714252044078
61,128.0,1e-06,1e-07,13.0,23.0,34.56722092628479,4.831363916397095,0.1700813945711132,0.16307449662341686,0.01478018236446095
62,128.0,1e-06,1e-08,20.0,38.0,53.28646206855774,6.978660821914673,0.15974951124246864,0.15960306262199503,0.0005929458894063197
63,128.0,1e-06,1e-09,27.0,53.0,72.33263301849365,9.249030828475952,0.15958146935696135,0.15953834505950693,0.0002223153639648539
64,128.0,1e-06,1e-10,33.0,68.0,89.30585503578186,11.478707790374756,0.15958811633268333,0.159544517572267,0.00013480545560116863
65,128.0,1e-07,1e-06,8.0,9.0,21.564373016357422,2.6447181701660156,0.20374377516028963,0.21731624939774494,0.035157154985571315
66,128.0,1e-07,1e-07,18.0,30.0,48.62309122085571,5.793351888656616,0.13569385186170507,0.13571532270697267,0.0015479178610320057
67,128.0,1e-07,1e-08,39.0,93.0,105.5127489566803,15.254986047744751,0.14024985828764117,0.14435622518054053,0.012284558828133051
68,128.0,1e-07,1e-09,63.0,128.0,170.40517687797546,20.475448846817017,0.1451015586957322,0.14511299742109626,0.00041227005202084044
69,128.0,1e-07,1e-10,75.0,188.0,200.94548177719116,29.47567629814148,0.14516148410696728,0.14515909764444968,0.00024168273479451412
70,128.0,1e-08,1e-06,8.0,9.0,21.266180276870728,2.62202787399292,0.20337018981476435,0.21706631493440023,0.035807156752824296
71,128.0,1e-08,1e-07,21.0,33.0,55.82168388366699,6.2124269008636475,0.1329111278622593,0.13273101647294958,0.0018586149627251454
72,128.0,1e-08,1e-08,109.0,212.0,294.09527587890625,33.3570237159729,0.4523122170427942,0.4602810298011116,0.021621267309943185
73,128.0,1e-08,1e-09,159.0,370.0,427.9940333366394,56.814849853515625,0.4698328066398532,0.47033670986437626,0.004550582613548295
74,128.0,1e-08,1e-10,214.0,535.0,578.8657739162445,81.72379302978516,0.47040997470233514,0.47051557618987433,0.0007650931757825099
75,256.0,0.0001,1e-06,5.0,5.0,166.07430696487427,19.181524991989136,0.30226744003799183,0.30226519142526487,2.588243022403472e-05
76,256.0,0.0001,1e-07,7.0,8.0,229.25859785079956,21.079908847808838,0.3016103481102505,0.30160554668556266,1.5782054169359593e-05
77,256.0,0.0001,1e-08,8.0,9.0,263.9942171573639,21.85729694366455,0.3015907044079619,0.30158732219232365,1.6408963759793392e-05
78,256.0,0.0001,1e-09,9.0,11.0,299.1603899002075,23.107856035232544,0.30158848822583867,0.30158571887068675,1.5269104445597718e-05
79,256.0,0.0001,1e-10,10.0,13.0,332.9131588935852,24.582469940185547,0.301588434306125,0.30158480417783434,1.5706999626367472e-05
80,256.0,1e-05,1e-06,8.0,9.0,264.4386808872223,21.665660858154297,0.24818390241712746,0.25152294668009073,0.0072637150658954545
81,256.0,1e-05,1e-07,11.0,14.0,362.547238111496,25.149563789367676,0.24483237016834852,0.24480801696483442,7.439197361668573e-05
82,256.0,1e-05,1e-08,13.0,20.0,432.99734592437744,29.255972862243652,0.24460548106978172,0.2445928126598427,3.8237929291745037e-05
83,256.0,1e-05,1e-09,14.0,23.0,464.29887890815735,31.13409996032715,0.2445977750951799,0.24458356970955278,4.061566658670525e-05
84,256.0,1e-05,1e-10,17.0,27.0,560.6689829826355,33.735591888427734,0.2445928022857717,0.24458010279019582,4.0804201264618684e-05
85,256.0,1e-06,1e-06,8.0,9.0,264.70519185066223,21.820858240127563,0.2180089450633789,0.22980340449419775,0.02896793614648813
86,256.0,1e-06,1e-07,13.0,20.0,432.519357919693,29.204887628555298,0.18185648485184533,0.177447366428857,0.009120172073129014
87,256.0,1e-06,1e-08,20.0,35.0,665.9651901721954,39.354963064193726,0.1703455408310677,0.17060421440873244,0.0009521323639872067
88,256.0,1e-06,1e-09,26.0,55.0,859.5116426944733,52.621394872665405,0.17003211404836688,0.16997219124796456,0.00018136676014150651
89,256.0,1e-06,1e-10,33.0,67.0,1094.9629349708557,60.8640410900116,0.17001117649031555,0.16997067854783446,0.00012301933373060308
90,256.0,1e-07,1e-06,8.0,9.0,264.371866941452,21.685142993927002,0.21422877496654427,0.2273692954271119,0.03458739991996179
91,256.0,1e-07,1e-07,18.0,30.0,592.0128087997437,35.82471489906311,0.14268939136669911,0.1406487262888448,0.006052364185086236
92,256.0,1e-07,1e-08,34.0,68.0,1133.479420185089,60.76697278022766,0.12726542557081472,0.1274320374414,0.004333632421903634
93,256.0,1e-07,1e-09,55.0,122.0,1824.283215045929,97.57129693031311,0.128883876525738,0.12892010245840047,0.0007588323067067071
94,256.0,1e-07,1e-10,70.0,175.0,2325.77449798584,133.1437909603119,0.1289850200118051,0.1289676644274293,0.00020635792409709402
95,256.0,1e-08,1e-06,8.0,9.0,264.0110960006714,21.662497997283936,0.21386353858748564,0.22713269895236643,0.03522874346020224
96,256.0,1e-08,1e-07,18.0,30.0,596.5784749984741,35.656635761260986,0.1401355308180605,0.13798545032657716,0.0074881336220975645
97,256.0,1e-08,1e-08,79.0,188.0,2628.2007229328156,141.96649384498596,0.2688004385012406,0.27495859777719145,0.0121650182970726
98,256.0,1e-08,1e-09,165.0,343.0,5478.264720916748,246.06852078437805,0.2920816157304503,0.29200262275208805,0.001299673632117393
99,256.0,1e-08,1e-10,199.0,487.0,6608.836846828461,341.6597228050232,0.2922677181316907,0.29231302483301547,0.0007339596660157225
