,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
18,32.0,1e-07,1e-09,54.0,143.0,2.587597131729126,1.603775978088379,0.26152293938178867,0.2615665582479092,0.0009262046718905392
19,32.0,1e-07,1e-10,72.0,184.0,3.537111759185791,1.9843518733978271,0.2615224883505594,0.2615823221396281,0.0002943115169980736
20,32.0,1e-08,1e-06,8.0,12.0,0.3723618984222412,0.1513381004333496,0.20435871368756675,0.18486958160899214,0.03891266724210068
21,32.0,1e-08,1e-07,18.0,85.0,0.8450298309326172,0.8827378749847412,0.17783392785818047,0.5792197390693855,0.4903403536601889
22,32.0,1e-08,1e-08,90.0,235.0,4.1857240200042725,2.3845577239990234,0.7835086697927395,0.7882373778080604,0.020557325876648602
23,32.0,1e-08,1e-09,147.0,370.0,6.705865144729614,3.7117109298706055,0.7914057951547201,0.7919530602584138,0.0031589679713960746
24,32.0,1e-08,1e-10,187.0,508.0,8.564300060272217,5.105852127075195,0.7915475837939218,0.792012607486877,0.0006839424273934741
25,64.0,0.0001,1e-06,6.0,6.0,1.9474749565124512,0.3639249801635742,0.34710425510970794,0.34736048360819527,0.0006198656919992246
26,64.0,0.0001,1e-07,7.0,8.0,2.2929699420928955,0.4386940002441406,0.3470254272503366,0.3470150724805639,2.5715552075597237e-05
27,64.0,0.0001,1e-08,8.0,9.0,2.6653521060943604,0.47061991691589355,0.3470042078259395,0.34699505700598265,2.5549110336656267e-05
28,64.0,0.0001,1e-09,9.0,11.0,3.0185787677764893,0.5416731834411621,0.34700206350491725,0.3469929652572694,2.5659500043121936e-05
29,64.0,0.0001,1e-10,10.0,13.0,3.3115427494049072,0.610252857208252,0.34700203834725274,0.34699290605140315,2.552514617880728e-05
30,64.0,1e-05,1e-06,8.0,9.0,2.6292591094970703,0.5052008628845215,0.27154969137479085,0.2766240730146862,0.010126496811946255
31,64.0,1e-05,1e-07,11.0,13.0,3.7487051486968994,0.6042518615722656,0.26783853087059,0.26804745467428914,0.0007560738412985068
32,64.0,1e-05,1e-08,13.0,19.0,4.332538843154907,0.8847780227661133,0.26772112511091817,0.2676670275991789,0.0001709482685732221
33,64.0,1e-05,1e-09,14.0,22.0,4.563094139099121,0.9497268199920654,0.26767601347160347,0.2676631709068543,6.963721138525091e-05
34,64.0,1e-05,1e-10,17.0,28.0,5.651082992553711,1.2082879543304443,0.2676737955277766,0.26766119024225754,6.738386691304743e-05
