,h,lam,tol,ite_f,ite_r,time_f,time_r,nm_f,nm_r,err_f,err_r,err_comp
49,64.0,1e-08,1e-10,223.0,550.0,71.19821977615356,18.961806774139404,0.8865479187634945,0.8868043874972201,0.7500379666723226,0.7502593558735788,0.00041251042949602245
50,128.0,0.0001,1e-06,5.0,6.0,13.5453040599823,2.208296060562134,0.28802786071480974,0.28818703104419086,0.3029667178394594,0.3026415600827009,0.0006799817746708319
51,128.0,0.0001,1e-07,6.0,8.0,15.736861944198608,2.5058770179748535,0.2880454779746194,0.28804981739502955,0.30229480058027475,0.3022203801914697,0.0002355720621370458
52,128.0,0.0001,1e-08,7.0,9.0,18.137531042099,2.7124087810516357,0.28804645411386426,0.2880511650476335,0.30222613898071315,0.3022011119427242,6.311943769381553e-05
53,128.0,0.0001,1e-09,8.0,11.0,21.0747549533844,3.024311065673828,0.28804650408676047,0.28804985073264394,0.30220560105384603,0.3021993169028626,1.6208611676800466e-05
54,128.0,0.0001,1e-10,9.0,13.0,23.37168288230896,3.1536548137664795,0.28804650593060305,0.2880499006960339,0.30220330149310254,0.3021987315676535,1.6009176378317366e-05
55,128.0,1e-05,1e-06,7.0,9.0,18.150279760360718,2.5709190368652344,0.3334613868237744,0.33402860873223,0.24543907088633413,0.2442204346113095,0.0024395499101613253
56,128.0,1e-05,1e-07,10.0,14.0,25.96926712989807,3.3262321949005127,0.3344731247005491,0.3345089741589304,0.2375943482121016,0.23718771340039235,0.0010716385360010894
57,128.0,1e-05,1e-08,12.0,20.0,31.597025156021118,4.677606821060181,0.33449418032831063,0.33451541020828274,0.23705422635955886,0.23698073706148168,0.00019055877331218286
58,128.0,1e-05,1e-09,13.0,23.0,34.92149305343628,4.851222038269043,0.334494644185348,0.33451683009755234,0.23699793002609004,0.23697145929726096,6.323341204910983e-05
59,128.0,1e-05,1e-10,16.0,27.0,42.934061765670776,5.519527912139893,0.3344946753644539,0.3345171340182793,0.23698704195329676,0.23697062262685484,4.66311820858261e-05
60,128.0,1e-06,1e-06,7.0,9.0,18.53556513786316,2.6005208492279053,0.3629933018215016,0.36457111531550807,0.2221994167342026,0.22004059032550113,0.004539432905486817
61,128.0,1e-06,1e-07,12.0,23.0,31.951597690582275,4.922951936721802,0.38404475857532355,0.3853782430790942,0.1710835741309491,0.16334705833238192,0.016027144837959816
62,128.0,1e-06,1e-08,19.0,38.0,50.58208394050598,6.948643922805786,0.38609619672120987,0.38621967090528503,0.16035370847703517,0.15986883857157472,0.0023087936717027715
63,128.0,1e-06,1e-09,28.0,50.0,74.63507890701294,8.715829133987427,0.3861522164315753,0.38622883445815254,0.1598705203018822,0.1598284599352628,0.00013736602488192824
64,128.0,1e-06,1e-10,32.0,65.0,334.9265477657318,53.80264401435852,0.38615276016782396,0.38623008611159126,0.15987874909981117,0.15983582322231943,0.00013451345111505937
65,128.0,1e-07,1e-06,7.0,9.0,128.91404700279236,2.639669895172119,0.36841937264195773,0.3702315681107224,0.2196766141605587,0.21742279201410938,0.004934897543982433
66,128.0,1e-07,1e-07,17.0,30.0,44.3500440120697,5.853388786315918,0.41565337487213944,0.41743170863289303,0.1372132577740378,0.1348990825111312,0.010490631094337061
67,128.0,1e-07,1e-08,39.0,85.0,103.12022113800049,14.02711796760559,0.42988949914623764,0.4309500347454914,0.14573078436182665,0.14851191097594585,0.009522413748514806
68,128.0,1e-07,1e-09,60.0,134.0,158.2423219680786,21.38478374481201,0.43109666911666444,0.43123345528282175,0.14957664098422568,0.14960775572258153,0.0005101487408017323
69,128.0,1e-07,1e-10,69.0,174.0,180.25636506080627,27.10498809814453,0.43110524908564996,0.43123790582308513,0.14965356366352303,0.14966220444308517,0.00026552433634161
70,128.0,1e-08,1e-06,7.0,9.0,18.171579122543335,2.6381750106811523,0.3690088110143458,0.37084732184254043,0.21943321522768594,0.21717095143186757,0.004978143493645639
71,128.0,1e-08,1e-07,20.0,33.0,52.289928913116455,6.136552810668945,0.4235165988634229,0.42599079267600665,0.1335053252719885,0.1320208707622109,0.013428688674406124
72,128.0,1e-08,1e-08,112.0,218.0,292.62470412254333,33.44318723678589,0.6498637566361211,0.6526336274442102,0.4910469047869929,0.49466271550353386,0.010818565308196347
73,128.0,1e-08,1e-09,140.0,393.0,536.8618161678314,59.15264415740967,0.6585082062993312,0.6587164601729958,0.5022868745823589,0.502427138579378,0.0004319352711359822
74,128.0,1e-08,1e-10,233.0,551.0,600.0187828540802,82.3702609539032,0.6586440377434243,0.6588472163820953,0.5024763412262742,0.5026091776550636,0.0005571598863467945
75,256.0,0.0001,1e-06,4.0,5.0,133.35105109214783,18.593411207199097,0.2553917686732871,0.25560388061628064,0.30467529968855667,0.3022427134083009,0.005708553261561921
76,256.0,0.0001,1e-07,6.0,8.0,194.06973695755005,20.413235902786255,0.2556374666438977,0.2556419047323649,0.3016603947444906,0.30158428790096686,0.0002412578227461371
77,256.0,0.0001,1e-08,7.0,9.0,227.58008313179016,22.14604425430298,0.25563858705681813,0.25564395676020146,0.30158909823100616,0.301566006568621,5.918185331454859e-05
78,256.0,0.0001,1e-09,8.0,11.0,262.2845666408539,22.29708504676819,0.2556386371516805,0.255641966220395,0.3015693322704543,0.30156434099031887,1.5519039247373413e-05
79,256.0,0.0001,1e-10,9.0,13.0,296.48983669281006,23.983677864074707,0.25563863952059657,0.25564204289443343,0.3015670954634351,0.3015634143536236,1.5750790738013608e-05
80,256.0,1e-05,1e-06,7.0,9.0,228.12651109695435,20.874937295913696,0.29708696029952114,0.2976074485079836,0.2526154663520977,0.2515784763632096,0.0021204920798282836
81,256.0,1e-05,1e-07,10.0,14.0,322.5292720794678,24.49257493019104,0.29811866621954486,0.2981507966407926,0.24521031000229443,0.24483142596375515,0.0010002610659169437
82,256.0,1e-05,1e-08,12.0,20.0,390.02298378944397,29.241315841674805,0.2981397948298825,0.29815757266684845,0.24469144964429176,0.24461963330437184,0.00018058408456463987
83,256.0,1e-05,1e-09,13.0,23.0,423.35751605033875,30.11476993560791,0.29814029593054525,0.2981599871352156,0.24463240753253918,0.2446109212924411,5.04696498354942e-05
84,256.0,1e-05,1e-10,16.0,27.0,521.7927167415619,32.84860706329346,0.29814033079739183,0.2981601664644905,0.24462007728331703,0.24460682563548072,4.074300764695257e-05
85,256.0,1e-06,1e-06,7.0,9.0,229.0235457420349,21.601791858673096,0.3252048408423269,0.32667933736878496,0.23181184235327318,0.2299195982952325,0.004078046122083465
86,256.0,1e-06,1e-07,12.0,20.0,393.3405702114105,28.87944793701172,0.3471685986652062,0.3482257853168506,0.18231071426631063,0.17721603759618632,0.010456087106182543
87,256.0,1e-06,1e-08,19.0,35.0,3971.1987907886505,39.493279457092285,0.34944480912750264,0.3495446341922837,0.17051197533067416,0.17022039623461743,0.0006876226960441592
88,256.0,1e-06,1e-09,26.0,56.0,860.4028358459473,53.007702112197876,0.3494946790011094,0.3495682267219817,0.16965574096288968,0.16957245047772734,0.0002869338237220855
89,256.0,1e-06,1e-10,32.0,67.0,1063.5530920028687,60.955201864242554,0.3494956837571153,0.3495683414797514,0.1696118876005401,0.1695709923042436,0.00012341150441809478
90,256.0,1e-07,1e-06,7.0,9.0,234.3148980140686,21.126060247421265,0.33042870994048573,0.3321280272078028,0.22947750057568275,0.22748850477565502,0.004453857673608981
91,256.0,1e-07,1e-07,17.0,30.0,567.470789194107,35.472859144210815,0.38076503213792656,0.3832303811925185,0.1446878625649207,0.13971409410324023,0.014595393784462802
92,256.0,1e-07,1e-08,36.0,78.0,14831.891379833221,66.80751490592957,0.39004722106602097,0.3907221658022234,0.12661488448373925,0.12706743747417662,0.007475479102789847
93,256.0,1e-07,1e-09,58.0,120.0,1871.4180998802185,95.52483201026917,0.39106079841847796,0.3911957472974904,0.12829117793969755,0.12826490581066896,0.00024382000670560057
94,256.0,1e-07,1e-10,82.0,167.0,2710.113765001297,126.749675989151,0.3910706274953396,0.3912070007655136,0.12833679493203315,0.12831049888858098,0.00020977657763617344
95,256.0,1e-08,1e-06,7.0,9.0,225.95188307762146,20.941375017166138,0.33099684312480765,0.33272144529754305,0.22925001349331878,0.22725202327802282,0.004495009121153745
96,256.0,1e-08,1e-07,17.0,30.0,549.197182893753,35.44594931602478,0.3866382707783551,0.3903313571271495,0.14228483484145452,0.1368481961454101,0.018582090110870895
97,256.0,1e-08,1e-08,90.0,175.0,2977.184335708618,135.6562020778656,0.485308521221194,0.4843547453059771,0.27710636095875296,0.27516857507882014,0.004295663948971501
98,256.0,1e-08,1e-09,163.0,329.0,35869.99086499214,9437.02059173584,0.4956129057168196,0.4958242826466992,0.2959026319060273,0.2960309922652253,0.0008767829770329097
99,256.0,1e-08,1e-10,167.0,498.0,5702.921897888184,346.09727787971497,0.49586400151001864,0.4960260253497488,0.29627276684855175,0.2963408166481087,0.0009901143833778673
