,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
21,32.0,1e-08,1e-07,47.0,73.0,2.1366491317749023,0.7493360042572021,0.4507336972402672,0.4220179808176557,0.04144076102651305
22,32.0,1e-08,1e-08,89.0,220.0,4.040086984634399,2.2428689002990723,0.6427189661880985,0.6502147580986506,0.029055636233735044
23,32.0,1e-08,1e-09,144.0,317.0,6.552632093429565,3.1755149364471436,0.6536388543473636,0.6539169314424859,0.0004233110666406831
24,32.0,1e-08,1e-10,176.0,510.0,8.012610912322998,5.107983112335205,0.6537911287393458,0.6540802669344062,0.0007407963481489852
25,64.0,0.0001,1e-06,6.0,6.0,1.9704089164733887,0.35150694847106934,0.3418737830514036,0.34206380391586083,0.00046445938683174857
26,64.0,0.0001,1e-07,7.0,8.0,2.304003953933716,0.42267799377441406,0.34174084830742896,0.3417361043122246,1.4622296093017785e-05
27,64.0,0.0001,1e-08,8.0,9.0,2.600050926208496,0.4507019519805908,0.341723661659056,0.3417229517375479,1.7496267567196233e-05
28,64.0,0.0001,1e-09,9.0,11.0,2.9430737495422363,0.5136590003967285,0.3417219044815774,0.34171849771939156,1.4583450000419322e-05
29,64.0,0.0001,1e-10,10.0,14.0,3.237610101699829,0.609673023223877,0.3417218302510591,0.34171818339896454,1.4272866685644426e-05
30,64.0,1e-05,1e-06,7.0,8.0,2.2865142822265625,0.41644716262817383,0.26424195199307776,0.2640921374912627,0.0002230573542259843
31,64.0,1e-05,1e-07,10.0,13.0,3.248203992843628,0.5769901275634766,0.2558305716754697,0.2557763829403492,0.00011495673854990651
32,64.0,1e-05,1e-08,13.0,18.0,4.236938238143921,0.7427310943603516,0.2551709094651199,0.25515278230514576,0.00011142892295602086
33,64.0,1e-05,1e-09,15.0,23.0,4.877917051315308,0.9026210308074951,0.25514731045638506,0.2551141238319866,7.431043243065675e-05
34,64.0,1e-05,1e-10,18.0,29.0,5.855094909667969,1.0980417728424072,0.25514598120580834,0.2551130202392647,7.414685469610454e-05
35,64.0,1e-06,1e-06,9.0,12.0,2.925313949584961,0.5475518703460693,0.1801411427653078,0.18653492909320615,0.016278990206644695
36,64.0,1e-06,1e-07,17.0,20.0,5.528453826904297,0.815554141998291,0.16009874717112801,0.16464755932840763,0.015190955535438816
37,64.0,1e-06,1e-08,23.0,41.0,7.485382795333862,1.4790098667144775,0.15914568788062175,0.15907818623357617,0.00028201449746415887
38,64.0,1e-06,1e-09,28.0,57.0,9.079985857009888,2.0015087127685547,0.15918340195692615,0.15911550066227273,0.0002508754579037364
39,64.0,1e-06,1e-10,37.0,72.0,12.038552045822144,2.508114814758301,0.15918207400227755,0.15911314878652913,0.00023945119187776385
40,64.0,1e-07,1e-06,9.0,14.0,2.9139938354492188,0.608428955078125,0.17034180683834368,0.16377319744816973,0.019771389271393488
