,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
0,512.0,0.0001,1e-06,5.0,5.0,1946.5764830112457,199.23394322395325,0.30058940148588753,0.300587332885975,2.3732441991898477e-05
1,512.0,0.0001,1e-07,7.0,8.0,2714.3878650665283,209.66477727890015,0.29997409335347824,0.2999697548944016,1.5137094076665689e-05
2,512.0,0.0001,1e-08,8.0,9.0,3099.7842791080475,210.25584387779236,0.2999552891576771,0.2999520469975847,1.5699824224041188e-05
3,512.0,1e-05,1e-06,8.0,9.0,3091.6194911003113,211.16330289840698,0.2507292585673256,0.25386554431723773,0.006948561364056161
4,512.0,1e-05,1e-07,11.0,14.0,4257.633757829666,223.88029408454895,0.24749597990722455,0.24747621818758822,8.157334641322833e-05
5,512.0,1e-05,1e-08,13.0,20.0,5039.279139041901,240.71752977371216,0.24726911592629403,0.24725856846751848,3.735992138391591e-05
6,512.0,1e-06,1e-06,8.0,9.0,3100.5368888378143,215.6004867553711,0.22241043385411322,0.23359591017116255,0.02798313861543594
7,512.0,1e-06,1e-07,13.0,20.0,5040.058019161224,241.07330775260925,0.18705637145747456,0.18263090635694776,0.009036815139304469
8,512.0,1e-06,1e-08,20.0,35.0,7858.286082983017,290.3468840122223,0.17532753381008936,0.17554938754418345,0.0007892228310783649
9,512.0,1e-07,1e-06,8.0,9.0,3208.637880086899,222.97622203826904,0.2188062256195691,0.23130299269437546,0.033445986498896005
10,512.0,1e-07,1e-07,18.0,30.0,7001.4840450286865,272.88937282562256,0.1467907680536962,0.14550221817844772,0.0032958067906857787
11,512.0,1e-07,1e-08,37.0,62.0,14416.517330884933,364.8542580604553,0.12738009026427066,0.1276108401192325,0.0013008490877663636
12,512.0,1e-08,1e-06,8.0,9.0,3141.5223948955536,216.1488630771637,0.2184560032278024,0.23107952323257566,0.03406981816607296
13,512.0,1e-08,1e-07,18.0,30.0,7034.292900085449,271.6054582595825,0.143858713239584,0.14223594332317413,0.004795149782412956
14,512.0,1e-08,1e-08,79.0,175.0,31005.034546136856,691.2578799724579,0.15111774744369905,0.16272410614924443,0.02380104407545507
