,h,lam,tol,ite_f,ite_r,time_f,time_r,nm_f,nm_r,res_f,res_r,err_f,err_r,err_comp
29,64.0,0.001,1e-08,5.0,6.0,1.5553288459777832,0.348017930984497,0.2522804241340501,0.2522804675473733,0.0052312209174069,0.0052312188252739,0.3498150464951322,0.3498138204981813,3.863050293312897e-06
30,128.0,0.001,1e-08,5.0,6.0,12.696145057678224,2.155519962310791,0.2097954485108037,0.2097954885772506,0.0043641514909806,0.0043641495658067,0.3415857339246093,0.3415847670153042,2.9325340880554547e-06
31,256.0,0.001,1e-08,5.0,6.0,162.6035361289978,19.555482149124146,0.1858070670330263,0.1858071664170768,0.0038805024178516,0.0038804976604975,0.3341774805729135,0.3341765677526527,3.1945552353266847e-06
32,32.0,0.001,1e-09,6.0,7.0,0.2710020542144775,0.0925879478454589,0.2851555550415287,0.2851557431607832,0.0058848018385762,0.0058847927249788,0.3453416027333408,0.3453406585781068,4.095881010343618e-06
33,64.0,0.001,1e-09,6.0,7.0,1.8566679954528809,0.3767008781433105,0.2522804241626447,0.2522805987215482,0.0052312209158193,0.0052312124992585,0.349814547117029,0.3498137599889075,3.613207552127361e-06
34,128.0,0.001,1e-09,6.0,7.0,15.219769954681396,2.276278018951416,0.2097954485372117,0.2097955739282317,0.0043641514895195,0.0043641454627666,0.3415852814755967,0.341584734457252,2.6665980554113707e-06
35,256.0,0.001,1e-09,6.0,7.0,197.52769589424133,19.7514762878418,0.1858070670596862,0.1858072321798484,0.0038805024163824,0.0038804945116201,0.3341770679809908,0.3341765449644974,2.9770021884421744e-06
36,32.0,0.001,1e-10,6.0,8.0,0.2693309783935547,0.107267141342163,0.2851555550415245,0.285155741790019,0.0058848018385764,0.0058847927914017,0.3453416027333422,0.3453406520553007,4.096520357948139e-06
37,64.0,0.001,1e-10,6.0,8.0,1.8560402393341064,0.4075288772583008,0.2522804241626331,0.2522805973719108,0.0052312209158198,0.0052312125643462,0.3498145471170321,0.349813754383773,3.6136626297828512e-06
38,128.0,0.001,1e-10,6.0,8.0,15.343446969985962,2.4499340057373047,0.209795448537201,0.2097955727475492,0.00436415148952,0.0043641455195249,0.3415852814755995,0.3415847304174847,2.666791514761613e-06
39,256.0,0.001,1e-10,6.0,8.0,193.45429515838623,20.33668613433838,0.1858070670596786,0.1858072301659819,0.0038805024163827,0.0038804946080488,0.3341770679809922,0.3341765401213317,2.977425414127536e-06
40,32.0,0.0001,1e-06,5.0,6.0,0.2273898124694824,0.0845630168914794,0.3894222388312909,0.3895020337007981,0.0013799080466778,0.0013776355381818,0.2836504779105471,0.2835550444557144,0.0001838665087974
