,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
15,32.0,1e-07,1e-06,9.0,12.0,0.41736412048339844,0.15402698516845703,0.14142648270290858,0.14957995616858005,0.03327076887906121
16,32.0,1e-07,1e-07,18.0,46.0,0.825974702835083,0.4882650375366211,0.1569707151617599,0.21575577225320258,0.09843710486883582
17,32.0,1e-07,1e-08,41.0,94.0,1.8901879787445068,0.9853372573852539,0.24597804422976255,0.2470375391707305,0.005102972977921235
18,32.0,1e-07,1e-09,57.0,140.0,2.7160451412200928,1.5122458934783936,0.24743060999667627,0.24757741240245074,0.000695861083641126
19,32.0,1e-07,1e-10,73.0,174.0,3.5040090084075928,1.8017382621765137,0.247529852569585,0.24762543159734687,0.0002608761258137042
20,32.0,1e-08,1e-06,9.0,12.0,0.4295790195465088,0.14760804176330566,0.14106358113285844,0.14904345988951753,0.03462247545481544
21,32.0,1e-08,1e-07,52.0,100.0,2.4631731510162354,1.0918676853179932,0.5898840962811143,0.6016330861173828,0.018354154560345066
22,32.0,1e-08,1e-08,79.0,192.0,3.7001211643218994,2.0192646980285645,0.7276420241653233,0.7342804679818085,0.021831154821805043
23,32.0,1e-08,1e-09,133.0,325.0,6.18685507774353,3.381901979446411,0.7428136163278717,0.7432235311130372,0.0006050402229619736
24,32.0,1e-08,1e-10,177.0,483.0,8.166960954666138,4.979639053344727,0.7429990057265415,0.7434010209901738,0.0007382387448826308
25,64.0,0.0001,1e-06,6.0,6.0,1.9972031116485596,0.39357590675354004,0.3282779053294776,0.32832666643065433,0.0001810600198435584
26,64.0,0.0001,1e-07,7.0,8.0,2.373396873474121,0.4509398937225342,0.3281593626782965,0.3281490185876086,2.3120824007596374e-05
27,64.0,0.0001,1e-08,9.0,10.0,2.924461841583252,0.5537509918212891,0.32813139535234515,0.32812475575263184,2.511384682624264e-05
28,64.0,0.0001,1e-09,9.0,12.0,2.955564022064209,0.5553858280181885,0.3281314350680178,0.3281226533912986,2.3154918921049393e-05
29,64.0,0.0001,1e-10,10.0,13.0,3.2768988609313965,0.640068769454956,0.32813134680849587,0.3281226303785889,2.3144177730647193e-05
30,64.0,1e-05,1e-06,8.0,9.0,2.6169350147247314,0.4637320041656494,0.2365053824054459,0.24181731637535436,0.010095896956674443
31,64.0,1e-05,1e-07,11.0,14.0,3.5695159435272217,0.632763147354126,0.23273077817753896,0.23270791096522592,8.697522234211497e-05
